x_um_centered_to_ellipse,y_um_centered_to_ellipse,delta_f_GHz
-2.072119815668200715e+01,-4.599251152073734517e+01,3.986597620482741355e-01
-1.972119815668200715e+01,-4.599251152073734517e+01,3.978565049537552412e-01
-1.872119815668200715e+01,-4.599251152073734517e+01,3.979139457243063838e-01
-1.772119815668200715e+01,-4.599251152073734517e+01,3.977201868955901887e-01
-1.672119815668200715e+01,-4.599251152073734517e+01,3.978327309260398792e-01
-1.572119815668200715e+01,-4.599251152073734517e+01,3.976576930461739323e-01
-1.472119815668200715e+01,-4.599251152073734517e+01,3.982186634502817846e-01
-1.372119815668200715e+01,-4.599251152073734517e+01,3.972259813536602735e-01
-1.272119815668200715e+01,-4.599251152073734517e+01,3.973011543991575856e-01
-1.172119815668200715e+01,-4.599251152073734517e+01,3.960325246725018289e-01
-1.072119815668200715e+01,-4.599251152073734517e+01,3.955221171675957770e-01
-9.721198156682007152e+00,-4.599251152073734517e+01,3.955189878587983543e-01
-8.721198156682007152e+00,-4.599251152073734517e+01,3.963480368333400783e-01
-7.721198156682007152e+00,-4.599251152073734517e+01,3.958376829816705467e-01
-6.721198156682007152e+00,-4.599251152073734517e+01,3.957887909300330520e-01
-5.721198156682007152e+00,-4.599251152073734517e+01,3.962724179953580617e-01
-4.721198156682007152e+00,-4.599251152073734517e+01,3.965247438258980850e-01
-3.721198156682007152e+00,-4.599251152073734517e+01,3.963463174524779475e-01
-2.721198156682007152e+00,-4.599251152073734517e+01,3.964800634489562547e-01
-1.721198156682007152e+00,-4.599251152073734517e+01,3.964278664989193679e-01
-7.211981566820071521e-01,-4.599251152073734517e+01,3.963091914620981981e-01
2.788018433179928479e-01,-4.599251152073734517e+01,3.960394554559800717e-01
1.278801843317992848e+00,-4.599251152073734517e+01,3.957890350461519269e-01
2.278801843317992848e+00,-4.599251152073734517e+01,3.953567709049474743e-01
3.278801843317992848e+00,-4.599251152073734517e+01,3.950833710446510771e-01
4.278801843317992848e+00,-4.599251152073734517e+01,3.948343435715142569e-01
5.278801843317992848e+00,-4.599251152073734517e+01,3.936177393248385670e-01
6.278801843317992848e+00,-4.599251152073734517e+01,3.938430947642714841e-01
7.278801843317992848e+00,-4.599251152073734517e+01,3.931785629335400323e-01
8.278801843317992848e+00,-4.599251152073734517e+01,3.926396497545256992e-01
9.278801843317992848e+00,-4.599251152073734517e+01,3.928917912032803272e-01
1.027880184331799285e+01,-4.599251152073734517e+01,3.910880302847981049e-01
1.127880184331799285e+01,-4.599251152073734517e+01,3.895978339579206917e-01
1.227880184331799285e+01,-4.599251152073734517e+01,3.904485170751317291e-01
1.327880184331799285e+01,-4.599251152073734517e+01,3.898809504130187342e-01
1.427880184331799285e+01,-4.599251152073734517e+01,3.890687002557591256e-01
1.527880184331799285e+01,-4.599251152073734517e+01,3.880711239359553311e-01
1.627880184331799285e+01,-4.599251152073734517e+01,3.878891605718983726e-01
1.727880184331799285e+01,-4.599251152073734517e+01,3.872351572730563518e-01
1.827880184331799285e+01,-4.599251152073734517e+01,3.865029983791057333e-01
1.927880184331799285e+01,-4.599251152073734517e+01,3.858817486435501820e-01
2.027880184331799285e+01,-4.599251152073734517e+01,3.852521413046954279e-01
2.127880184331799285e+01,-4.599251152073734517e+01,3.851180872392925281e-01
2.227880184331799285e+01,-4.599251152073734517e+01,3.842632138224431060e-01
2.327880184331799285e+01,-4.599251152073734517e+01,3.837051369295396697e-01
2.427880184331799285e+01,-4.599251152073734517e+01,3.833605609251873325e-01
2.527880184331799285e+01,-4.599251152073734517e+01,3.828656454066416970e-01
2.627880184331799285e+01,-4.599251152073734517e+01,3.817340702279810039e-01
2.727880184331799285e+01,-4.599251152073734517e+01,3.815564967330544732e-01
2.827880184331799285e+01,-4.599251152073734517e+01,3.796793275076839613e-01
2.927880184331799285e+01,-4.599251152073734517e+01,3.796922149078154618e-01
3.027880184331799285e+01,-4.599251152073734517e+01,3.789817632454011154e-01
3.127880184331799285e+01,-4.599251152073734517e+01,3.777078908457163209e-01
3.227880184331799285e+01,-4.599251152073734517e+01,3.765117687580055161e-01
-3.472119815668200715e+01,-4.499251152073734517e+01,4.081105370648545616e-01
-3.372119815668200715e+01,-4.499251152073734517e+01,4.079979605939567655e-01
-3.272119815668200715e+01,-4.499251152073734517e+01,4.095018604487457026e-01
-3.172119815668200715e+01,-4.499251152073734517e+01,4.094347202631700711e-01
-3.072119815668200715e+01,-4.499251152073734517e+01,4.090548306742012308e-01
-2.972119815668200715e+01,-4.499251152073734517e+01,4.090081666546048211e-01
-2.872119815668200715e+01,-4.499251152073734517e+01,4.085010392759160780e-01
-2.772119815668200715e+01,-4.499251152073734517e+01,4.073688895421128109e-01
-2.672119815668200715e+01,-4.499251152073734517e+01,4.055970606688190649e-01
-2.572119815668200715e+01,-4.499251152073734517e+01,4.040841970788395798e-01
-2.472119815668200715e+01,-4.499251152073734517e+01,4.015834625359548937e-01
-2.372119815668200715e+01,-4.499251152073734517e+01,4.006090675584483840e-01
-2.272119815668200715e+01,-4.499251152073734517e+01,3.998001916269049438e-01
-2.172119815668200715e+01,-4.499251152073734517e+01,3.990918787873738438e-01
-2.072119815668200715e+01,-4.499251152073734517e+01,3.992279363498218991e-01
-1.972119815668200715e+01,-4.499251152073734517e+01,3.985377052353831218e-01
-1.872119815668200715e+01,-4.499251152073734517e+01,3.983615931831931967e-01
-1.772119815668200715e+01,-4.499251152073734517e+01,3.981888740808110505e-01
-1.672119815668200715e+01,-4.499251152073734517e+01,3.987938192436364382e-01
-1.572119815668200715e+01,-4.499251152073734517e+01,3.988798008473488643e-01
-1.472119815668200715e+01,-4.499251152073734517e+01,3.984180573835969241e-01
-1.372119815668200715e+01,-4.499251152073734517e+01,3.980767308868262688e-01
-1.272119815668200715e+01,-4.499251152073734517e+01,3.972074561159368855e-01
-1.172119815668200715e+01,-4.499251152073734517e+01,3.962382317665187337e-01
-1.072119815668200715e+01,-4.499251152073734517e+01,3.956331486837085798e-01
-9.721198156682007152e+00,-4.499251152073734517e+01,3.959475734268553815e-01
-8.721198156682007152e+00,-4.499251152073734517e+01,3.966672780099416151e-01
-7.721198156682007152e+00,-4.499251152073734517e+01,3.964969035147367649e-01
-6.721198156682007152e+00,-4.499251152073734517e+01,3.967740093510476740e-01
-5.721198156682007152e+00,-4.499251152073734517e+01,3.960678415585183743e-01
-4.721198156682007152e+00,-4.499251152073734517e+01,3.963953051078039636e-01
-3.721198156682007152e+00,-4.499251152073734517e+01,3.963095363983559771e-01
-2.721198156682007152e+00,-4.499251152073734517e+01,3.963372263425162245e-01
-1.721198156682007152e+00,-4.499251152073734517e+01,3.963764677925842861e-01
-7.211981566820071521e-01,-4.499251152073734517e+01,3.962283076403254611e-01
2.788018433179928479e-01,-4.499251152073734517e+01,3.959921765823599671e-01
1.278801843317992848e+00,-4.499251152073734517e+01,3.954431691374415969e-01
2.278801843317992848e+00,-4.499251152073734517e+01,3.954085815221595190e-01
3.278801843317992848e+00,-4.499251152073734517e+01,3.949768161927669219e-01
4.278801843317992848e+00,-4.499251152073734517e+01,3.945520010406169398e-01
5.278801843317992848e+00,-4.499251152073734517e+01,3.938722156764979943e-01
